id,name,est_home_cost_per_person
pappadam,Pappadam,4.7
sharkara_upperi,Sharkara Upperi,8.95
kaya_varuthathu,Kaya Varuthathu,10.9
chena_varuthathu,Chena Varuthathu,11.3
sarkara_upperi,Sarkara Upperi,8.95
banana_chips,Banana Chips,8.9
pulinji,Pulinji,5.25
kaalan,Kaalan (Mathanga),9.8
olans,Olan,6.9
avial,Avial,16.6
thoran,Thoran (Cabbage),9.84
pachadi,Pachadi (Pineapple),9.26
kichadi,Kichadi (Vellarikka),9.2
erisheri,Erisheri (Chena),12.9
sambar,Sambar,12.5
rasam,Rasam,4.1
pulisheri,Pulisheri,9.2
moru,Moru (Buttermilk),10.0
injipuli,Injipuli,7.95
nellikka,Nellikka Curry,5.9
koottukari,Koottukari,10.6
mathanga_erisheri,Mathanga Erisheri,9.8
rice,Steamed Rice (Matta),7.8
payasam_ada,Ada Payasam,15.3
payasam_palada,Palada Payasam,19.63
payasam_nyp,Neyyappam,13.33
payasam_kozhukkatta,Kozhukkatta,6.48
buttermilk,Buttermilk (finale),7.0
vada,Vada,14.7
